rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
1;Sidney Crosby;PIT;C;80;36;68;104;72;68;140;18;11;0;0;5;1
2;Ryan Getzlaf;ANA;C;77;31;56;87;62;56;118;28;5;0;0;7;1
3;Claude Giroux;PHI;C;82;28;58;86;56;58;114;7;7;0;0;7;1
4;Tyler Seguin;DAL;C;80;37;47;84;74;47;121;16;11;0;0;8;0
5;Corey Perry;ANA;R;81;43;39;82;86;39;125;32;8;0;0;9;1
6;Phil Kessel;TOR;R;82;37;43;80;74;43;117;-5;8;0;0;6;0
7;Taylor Hall;EDM;L;75;27;53;80;54;53;107;-15;7;0;0;1;1
8;Alex Ovechkin;WSH;R;78;51;28;79;102;28;130;-35;24;0;0;10;3
9;Joe Pavelski;SJS;C;82;41;38;79;82;38;120;23;16;1;2;3;0
10;Jamie Benn;DAL;L;81;34;45;79;68;45;113;21;5;1;2;3;1
11;Nicklas Backstrom;WSH;C;82;18;61;79;36;61;97;-20;6;1;2;1;0
12;Patrick Sharp;CHI;L;82;34;44;78;68;44;112;13;10;0;0;3;1
13;Joe Thornton;SJS;C;82;11;65;76;22;65;87;20;2;0;0;3;1
14;Erik Karlsson;OTT;D;82;20;54;74;40;54;94;-15;5;0;0;1;0
15;Evgeni Malkin;PIT;C;60;23;49;72;46;49;95;10;7;0;0;3;0
16;Patrick Marleau;SJS;L;82;33;37;70;66;37;103;0;11;2;4;4;0
17;Anze Kopitar;LAK;C;82;29;41;70;58;41;99;34;10;0;0;9;2
18;Matt Duchene;COL;C;71;23;47;70;46;47;93;8;5;0;0;6;1
19;Martin St. Louis;TBL, NYR;R;81;30;39;69;60;39;99;13;9;1;2;5;1
20;Patrick Kane;CHI;R;69;29;40;69;58;40;98;7;10;0;0;6;0
21;Blake Wheeler;WPG;R;82;28;41;69;56;41;97;4;8;0;0;4;2
22;Kyle Okposo;NYI;R;71;27;42;69;54;42;96;-9;5;0;0;4;1
23;David Krejci;BOS;C;80;19;50;69;38;50;88;39;3;0;0;6;1
24;Chris Kunitz;PIT;L;78;35;33;68;70;33;103;25;13;0;0;8;0
25;Jonathan Toews;CHI;C;76;28;40;68;56;40;96;26;5;3;6;5;0
26;Thomas Vanek;BUF, NYI, MTL;L;78;27;41;68;54;41;95;7;8;0;0;4;0
27;Jaromir Jagr;NJD;R;82;24;43;67;48;43;91;16;5;0;0;6;1
28;John Tavares;NYI;C;59;24;42;66;48;42;90;-6;8;0;0;4;0
29;Jason Spezza;OTT;C;75;23;43;66;46;43;89;-26;9;0;0;5;0
30;Jordan Eberle;EDM;R;80;28;37;65;56;37;93;-11;7;1;2;4;1
31;Gabriel Landeskog;COL;L;81;26;39;65;52;39;91;21;5;0;0;4;1
32;Ryan O'Reilly;COL;C;80;28;36;64;56;36;92;-1;9;0;0;6;2
33;Bryan Little;WPG;C;82;23;41;64;46;41;87;8;8;2;4;1;0
34;Ryan Johansen;CBJ;C;82;33;30;63;66;30;96;3;7;0;0;5;2
35;Nathan MacKinnon;COL;C;82;24;39;63;48;39;87;20;8;0;0;5;0
36;Alexander Steen;STL;L;68;33;29;62;66;29;95;17;7;1;2;9;0
37;Patrice Bergeron;BOS;C;80;30;32;62;60;32;92;38;7;1;2;7;0
38;Jakub Voracek;PHI;R;82;23;39;62;46;39;85;11;8;0;0;2;0
39;James van Riemsdyk;TOR;L;80;30;31;61;60;31;91;-9;9;2;4;3;0
40;Jarome Iginla;BOS;R;78;30;31;61;60;31;91;34;4;0;0;8;0
41;James Neal;PIT;L;59;27;34;61;54;34;88;15;11;0;0;4;3
42;Eric Staal;CAR;C;79;21;40;61;42;40;82;-13;1;2;4;0;0
43;Duncan Keith;CHI;D;79;6;55;61;12;55;67;22;3;0;0;3;0
44;Max Pacioretty;MTL;L;73;39;21;60;78;21;99;8;10;1;2;11;2
45;Jason Pominville;MIN;R;82;30;30;60;60;30;90;3;7;0;0;5;0
46;Marian Hossa;CHI;R;72;30;30;60;60;30;90;28;4;3;6;4;0
47;Wayne Simmonds;PHI;R;82;29;31;60;58;31;89;-4;15;0;0;4;0
48;Paul Stastny;COL;C;71;25;35;60;50;35;85;9;4;0;0;4;1
49;T.J. Oshie;STL;R;79;21;39;60;42;39;81;19;5;2;4;5;1
50;Milan Lucic;BOS;L;80;24;35;59;48;35;83;30;3;0;0;5;1
51;Ondrej Palat;TBL;L;81;23;36;59;46;36;82;32;3;2;4;3;0
52;Mats Zuccarello;NYR;L;77;19;40;59;38;40;78;11;4;1;2;4;0
53;Kyle Turris;OTT;C;82;26;32;58;52;32;84;22;6;2;4;5;0
54;Valtteri Filppula;TBL;C;75;25;33;58;50;33;83;5;6;0;0;2;0
55;Frans Nielsen;NYI;C;80;25;33;58;50;33;83;-11;5;2;4;0;0
56;David Perron;EDM;L;78;28;29;57;56;29;85;-16;8;1;2;2;0
57;David Backes;STL;C;74;27;30;57;54;30;84;14;10;0;0;5;1
58;Jussi Jokinen;PIT;L;81;21;36;57;42;36;78;12;6;0;0;4;0
59;Derek Stepan;NYR;C;82;17;40;57;34;40;74;12;5;0;0;2;0
60;Zach Parise;MIN;L;67;29;27;56;58;27;85;10;14;1;2;5;0
61;Jaden Schwartz;STL;L;80;25;31;56;50;31;81;28;5;3;6;1;0
62;Shea Weber;NSH;D;79;23;33;56;46;33;79;-2;12;0;0;4;1
63;Dustin Byfuglien;WPG;R;78;20;36;56;40;36;76;-20;8;0;0;1;1
64;Ryan Nugent-Hopkins;EDM;C;80;19;37;56;38;37;75;-12;6;0;0;4;1
65;Clarke MacArthur;OTT;L;79;24;31;55;48;31;79;12;8;1;2;5;1
66;Victor Hedman;TBL;D;75;13;42;55;26;42;68;5;3;0;0;2;0
67;Jeff Skinner;CAR;L;71;33;21;54;66;21;87;-14;11;0;0;6;1
68;Andrew Ladd;WPG;L;78;23;31;54;46;31;77;8;4;0;0;2;0
69;Logan Couture;SJS;C;65;23;31;54;46;31;77;21;4;2;4;6;0
70;Jiri Hudler;CGY;C;75;17;37;54;34;37;71;4;2;0;0;1;1
71;Mikko Koivu;MIN;C;65;11;43;54;22;43;65;0;2;0;0;4;0
72;Brad Marchand;BOS;L;82;25;28;53;50;28;78;36;1;5;10;5;1
73;Patric Hornqvist;NSH;R;76;22;31;53;44;31;75;1;7;0;0;6;0
74;Patrik Elias;NJD;L;65;18;35;53;36;35;71;-4;4;2;4;1;1
75;P.K. Subban;MTL;D;82;10;43;53;20;43;63;-4;4;0;0;1;1
76;Keith Yandle;PHX;D;82;8;45;53;16;45;61;-23;3;0;0;2;1
77;Craig Smith;NSH;C;79;24;28;52;48;28;76;16;7;0;0;4;1
78;Scott Hartnell;PHI;L;78;20;32;52;40;32;72;11;9;0;0;3;0
79;David Desharnais;MTL;C;79;16;36;52;32;36;68;11;3;0;0;2;1
80;Matt Moulson;NYI, BUF, MIN;L;75;23;28;51;46;28;74;2;9;0;0;5;1
81;Brad Richards;NYR;C;82;20;31;51;40;31;71;-8;5;0;0;2;0
82;Radim Vrbata;PHX;R;80;20;31;51;40;31;71;-6;10;0;0;2;0
83;Reilly Smith;BOS;R;82;20;31;51;40;31;71;28;6;0;0;3;0
84;Mikkel Boedker;PHX;L;82;19;32;51;38;32;70;-9;5;0;0;1;0
85;David Legwand;NSH, DET;C;83;14;37;51;28;37;65;-17;6;0;0;4;0
86;Alex Pietrangelo;STL;D;81;8;43;51;16;43;59;20;2;0;0;1;0
87;James Wisniewski;CBJ;D;75;7;44;51;14;44;58;0;3;0;0;1;0
88;Jeff Carter;LAK;C;72;27;23;50;54;23;77;8;8;1;2;5;1
89;Tyler Johnson;TBL;C;82;24;26;50;48;26;74;23;5;5;10;4;0
90;Nazem Kadri;TOR;C;78;20;30;50;40;30;70;-11;7;0;0;2;1
91;Brandon Dubinsky;CBJ;C;76;16;34;50;32;34;66;5;4;2;4;2;0
92;Henrik Sedin;VAN;C;70;11;39;50;22;39;61;3;4;0;0;1;0
93;Joel Ward;WSH;R;82;24;25;49;48;25;73;7;6;2;4;4;0
94;Nick Bonino;ANA;C;77;22;27;49;44;27;71;14;7;0;0;2;1
95;Mike Fisher;NSH;C;75;20;29;49;40;29;69;-4;4;0;0;4;0
