rank;name;old_team;gp;gs;wins;losses;ot;so;our_wins;our_so;our_total
1;Semyon Varlamov;COL;63;60;41;14;6;2;41;6;47
2;Marc-Andre Fleury;PIT;64;64;39;18;5;5;39;15;54
3;Antti Niemi;SJS;64;64;39;17;7;4;39;12;51
4;Ben Bishop;TBL;63;63;37;14;7;5;37;15;52
5;Tuukka Rask;BOS;58;58;36;15;6;7;36;21;57
6;Carey Price;MTL;59;59;34;20;5;6;34;18;52
7;Henrik Lundqvist;NYR;63;62;33;24;5;5;33;15;48
8;Kari Lehtonen;DAL;65;64;33;20;10;5;33;15;48
9;Steve Mason;PHI;61;60;33;18;7;4;33;12;45
10;Corey Crawford;CHI;59;56;32;16;10;2;32;6;38
11;Sergei Bobrovsky;CBJ;58;58;32;20;5;5;32;15;47
12;Jaroslav Halak;STL, WSH;52;50;29;13;7;5;29;15;44
13;Jonas Hiller;ANA;50;50;29;13;7;5;29;15;44
14;Jonathan Quick;LAK;49;49;27;17;4;6;27;18;45
15;Mike Smith;PHX;62;61;27;21;10;3;27;9;36
16;Jonathan Bernier;TOR;55;49;26;19;7;1;26;3;29
17;Roberto Luongo;VAN, FLA;56;56;25;23;7;4;25;12;37
18;Ryan Miller;BUF, STL;59;59;25;30;4;1;25;3;28
19;Craig Anderson;OTT;53;52;25;16;8;4;25;12;37
20;Braden Holtby;WSH;48;45;23;15;4;4;23;12;35
21;Ondrej Pavelec;WPG;57;57;22;26;7;1;22;3;25
22;Jimmy Howard;DET;51;50;21;19;11;2;21;6;27
23;Frederik Andersen;ANA;28;24;20;5;0;0;20;0;20
24;Carter Hutton;NSH;40;34;20;11;4;1;20;3;23
25;Anton Khudobin;CAR;36;34;19;14;1;1;19;3;22
26;Martin Brodeur;NJD;39;39;19;14;6;3;19;9;28
27;Josh Harding;MIN;29;26;18;7;3;3;18;9;27
28;Brian Elliott;STL;31;25;18;6;2;4;18;12;30
29;Tim Thomas;FLA, DAL;48;46;18;24;4;0;18;0;18
30;Chad Johnson;BOS;27;23;17;4;3;2;17;6;23
