Corey Perry;8625000;ANA
Ryan Getzlaf;8250000;ANA
Ryan Kesler;6875000;ANA
Jakob Silfverberg;3750000;ANA
Andrew Cogliano;3000000;ANA
Antoine Vermette;1750000;ANA
Nick Ritchie;1627000;ANA
Nate Thompson;1600000;ANA
Jared Boll;900000;ANA
Ryan Garbutt;900000;ANA
Mason Raymond;675000;ANA
Chris Wagner;637000;ANA
Rickard Rakell;0;ANA
Shawn Horcoff;0;ANA
Sami Vatanen;4875000;ANA
Kevin Bieksa;4000000;ANA
Cam Fowler;4000000;ANA
Simon Despres;3700000;ANA
Clayton Stoner;3250000;ANA
Josh Manson;825000;ANA
Korbinian Holzer;700000;ANA
Hampus Lindholm;0;ANA
Jonathan Bernier;4150000;ANA
John Gibson;2300000;ANA
Dave Bolland;5500000;ARI
Shane Doan;4840000;ARI
Jamie McGinn;3333000;ARI
Radim Vrbata;3250000;ARI
Martin Hanzal;3100000;ARI
Brad Richardson;2083000;ARI
Max Domi;1363000;ARI
Ryan White;1000000;ARI
Anthony Duclair;894000;ARI
Jordan Martinook;613000;ARI
Steve Downie;0;ARI
Tobias Rieder;0;ARI
Alex Tanguay;0;ARI
Oliver Ekman-Larsson;5500000;ARI
Alex Goligoski;5475000;ARI
Chris Pronger;4921000;ARI
Michael Stone;4000000;ARI
Connor Murphy;3850000;ARI
Zbynek Michalek;3200000;ARI
Luke Schenn;1250000;ARI
Kevin Connauton;1000000;ARI
Klas Dahlbeck;750000;ARI
Jarred Tinordi;700000;ARI
Nicklas Grossmann;0;ARI
Mike Smith;5667000;ARI
Louis Domingue;1050000;ARI
Anders Lindback;0;ARI
David Krejci;7250000;BOS
Patrice Bergeron;6875000;BOS
David Backes;6000000;BOS
Brad Marchand;4500000;BOS
Matt Beleskey;3800000;BOS
Jimmy Hayes;2300000;BOS
Dominic Moore;1000000;BOS
Ryan Spooner;950000;BOS
Frank Vatrano;925000;BOS
David Pastrnak;925000;BOS
Riley Nash;900000;BOS
Zac Rinaldo;850000;BOS
Tyler Randell;600000;BOS
Peter Mueller;0;BOS
Zdeno Chara;6917000;BOS
